iter	Logloss
0	0.6300510878
1	0.5801306735
2	0.5385375291
3	0.505616906
4	0.4868500099
5	0.4640073455
6	0.4472055328
7	0.4329629105
8	0.4191517348
9	0.4081793796
10	0.4014107351
11	0.3954400909
12	0.3876039312
13	0.3847809695
14	0.3797858592
15	0.3760845313
16	0.3731702312
17	0.3678407133
18	0.3626593686
19	0.3583258297
20	0.3546677922
21	0.3497634631
22	0.3460989106
23	0.3426258644
24	0.3390648231
25	0.3367254279
26	0.3339885969
27	0.3311146083
28	0.3289040983
29	0.3277099052
30	0.327584856
31	0.3269971355
32	0.3264854088
33	0.3253534724
34	0.3222618532
35	0.3221504983
36	0.3211022281
37	0.319220425
38	0.3166771364
39	0.3159023242
40	0.3149578437
41	0.3121378824
42	0.3106498075
43	0.3096072379
44	0.3095152994
45	0.3079172199
46	0.3079123765
47	0.3063456503
48	0.3055086886
49	0.3036784054
50	0.3023034428
51	0.3014132682
52	0.3007836931
53	0.2981858414
54	0.2967003383
55	0.295824501
56	0.2938114766
57	0.2922198263
58	0.292036378
59	0.2912951266
60	0.2902177103
61	0.2878025569
62	0.2869316701
63	0.2855528499
64	0.2847113663
65	0.2836846984
66	0.282572757
67	0.2818790393
68	0.2800427983
69	0.279289117
70	0.27710501
71	0.2732994422
72	0.272728052
73	0.2719056204
74	0.2692904955
75	0.2690023572
76	0.2687575522
77	0.2671226759
78	0.2642688966
79	0.261094104
80	0.2595388434
81	0.2595014251
82	0.2569828033
83	0.2557131735
84	0.2522721023
85	0.2521366591
86	0.2506503845
87	0.2472482746
88	0.2448910702
89	0.2445574985
90	0.2436795395
91	0.2422081594
92	0.2413281859
93	0.2402144228
94	0.2390053138
95	0.2369453344
96	0.2360728189
97	0.2357584064
98	0.2335195863
99	0.2326599721
100	0.2312155949
101	0.2303097971
102	0.2278830282
103	0.2271272038
104	0.2264181844
105	0.2263545776
106	0.225695385
107	0.2232716164
108	0.2226474848
109	0.219806264
110	0.2185953976
111	0.215913494
112	0.2151294022
113	0.2131809277
114	0.2117236491
115	0.2111883271
116	0.2111090757
117	0.2095429067
118	0.2091234829
119	0.2088700627
120	0.2072081834
121	0.2053900515
122	0.2041235934
123	0.2035556965
124	0.2031973078
125	0.2031715479
126	0.2025257068
127	0.2012566556
128	0.1991531715
129	0.1978512453
130	0.1969750865
131	0.1956041529
132	0.1943374377
133	0.1926328252
134	0.1923259564
135	0.1905421996
136	0.1888729696
137	0.1877379685
138	0.1874207272
139	0.187246687
140	0.1861201083
141	0.1844202535
142	0.1839499313
143	0.1830972822
144	0.1824580418
145	0.1813975345
146	0.1801526359
147	0.1797545894
148	0.1789684831
149	0.1787266463
150	0.1781508628
151	0.1781052472
152	0.1769182441
153	0.1765797647
154	0.1763985023
155	0.1756040809
156	0.1746586039
157	0.1737864419
158	0.1726387324
159	0.1720269342
160	0.1709406671
161	0.169818921
162	0.1689335684
163	0.1678944063
164	0.1674325707
165	0.166694041
166	0.1655685446
167	0.1652151815
168	0.1649571108
169	0.1641041724
170	0.1631584167
171	0.1630878448
172	0.1630745791
173	0.1625943237
174	0.1620514688
175	0.1606037804
176	0.1595639647
177	0.1592991111
178	0.1590261781
179	0.1577978991
180	0.1569297019
181	0.1565424458
182	0.155787993
183	0.1557294438
184	0.15556793
185	0.1543206633
186	0.1534823514
187	0.1520979913
188	0.1512806067
189	0.1500312505
190	0.1490612673
191	0.148349837
192	0.1475881834
193	0.1470204043
194	0.1462951189
195	0.1455685262
196	0.1449453161
197	0.1448616928
198	0.1448498415
199	0.1443986571
200	0.1430385461
201	0.1429224229
202	0.1428166936
203	0.14236657
204	0.1419954621
205	0.1408618005
206	0.1407942183
207	0.1401559208
208	0.139167507
209	0.13894319
210	0.1388038892
211	0.137851983
212	0.1374561867
213	0.1372947907
214	0.1365844212
215	0.1365726771
216	0.1361270862
217	0.1353547707
218	0.1348082939
219	0.134716634
220	0.1338192693
221	0.1336834511
222	0.1336732822
223	0.1334512046
224	0.1334401677
225	0.1327588156
226	0.1327316198
227	0.132081739
228	0.1311724588
229	0.130235672
230	0.1293598025
231	0.1289967526
232	0.1289865837
233	0.1287420037
234	0.1281666381
235	0.1280029168
236	0.1279933908
237	0.1278949909
238	0.1277218508
239	0.1277111353
240	0.1275983339
241	0.1275372023
242	0.1273756134
243	0.1268379554
244	0.1267747129
245	0.1261310363
246	0.1256248174
247	0.1252774228
248	0.1250963747
249	0.1241773541
250	0.1237480506
251	0.1232896333
252	0.1232717707
253	0.1224554898
254	0.1216736483
255	0.1210959788
256	0.1206975144
257	0.1206902708
258	0.1206647894
259	0.1204467731
260	0.1204410296
261	0.1202170126
262	0.1198166408
263	0.1196057823
264	0.1191999885
265	0.118988305
266	0.1189775681
267	0.1189620414
268	0.118766056
269	0.1182915977
270	0.1182183041
271	0.1177928689
272	0.1173002907
273	0.1172936365
274	0.1172703089
275	0.1172638154
276	0.1166790952
277	0.1163609965
278	0.1161932356
279	0.1158693292
280	0.1157877311
281	0.1152412115
282	0.114834689
283	0.1146138652
284	0.1146043927
285	0.1144881088
286	0.1137423676
287	0.1134373526
288	0.113235195
289	0.1128020554
290	0.1121364443
291	0.1114359116
292	0.1108755262
293	0.1107040898
294	0.1105944387
295	0.1101146869
296	0.11006336
297	0.1096941701
298	0.1094990312
299	0.1090119715
300	0.1085652662
301	0.1079648907
302	0.1076160602
303	0.1076092238
304	0.1070434699
305	0.1067890424
306	0.1066775268
307	0.1061788838
308	0.1059021468
309	0.1058899097
310	0.1052894807
311	0.1050905913
312	0.1045584839
313	0.1042323059
314	0.1042214511
315	0.1040871009
316	0.1036720276
317	0.1034326982
318	0.1030653836
319	0.1027935328
320	0.1023661367
321	0.1023416198
322	0.1023365514
323	0.1021961041
324	0.1018102196
325	0.1016969359
326	0.1015936819
327	0.101296607
328	0.1009663571
329	0.1009614923
330	0.1007940421
331	0.100778194
332	0.1003136367
333	0.1003089433
334	0.1000548481
335	0.09995250488
336	0.09971933686
337	0.09971516856
338	0.09970442097
339	0.09954591815
340	0.09919509459
341	0.09919155849
342	0.09912331185
343	0.09904599993
344	0.09897834263
345	0.09894706426
346	0.09886348381
347	0.09873128741
348	0.09864995721
349	0.09843833795
350	0.09799883339
351	0.09795728962
