iter	Logloss
352	0.09790392672
353	0.09789376848
354	0.09760567311
355	0.09742244978
356	0.09710770511
357	0.09665230955
358	0.0965219562
359	0.09619479233
360	0.0961107404
361	0.09601640166
362	0.09594784426
363	0.09567483623
364	0.09561100435
365	0.09553057424
366	0.09534390053
367	0.09483708157
368	0.09483408124
369	0.09482576606
370	0.09474170342
371	0.0944508649
372	0.09444273188
373	0.09432372618
374	0.09431993292
375	0.09392632259
376	0.09377747439
377	0.09374727828
378	0.09349199359
379	0.09346846248
380	0.09345977226
381	0.09342797954
382	0.09342262182
383	0.09327093403
384	0.09281521701
385	0.09264956699
386	0.09260041526
387	0.09258736385
388	0.0925055836
389	0.09216757571
390	0.09216437179
391	0.09212706062
392	0.09190000041
393	0.09140706866
394	0.09132053075
395	0.09095358045
396	0.09054398269
397	0.09049413445
398	0.09023743533
399	0.09023167042
400	0.09005441558
401	0.08977189225
402	0.0896511828
403	0.08955152383
404	0.08923898654
405	0.08904035975
406	0.08899312073
407	0.08875456821
408	0.08871215113
409	0.08827336986
410	0.08796623316
411	0.08785743392
412	0.0878000688
413	0.08778068457
414	0.08775649982
415	0.08742119757
416	0.08741766147
417	0.08731815252
418	0.08719388555
419	0.08690465434
420	0.08689849296
421	0.08671221572
422	0.08661285679
423	0.08658115516
424	0.0864548201
425	0.08644659064
426	0.08640764001
427	0.08636281731
428	0.0863603099
429	0.08608126908
430	0.08589861902
431	0.08582020877
432	0.08572736483
433	0.08553098293
434	0.08526073949
435	0.08517377296
436	0.08492865187
437	0.08486777745
438	0.08485145783
439	0.08463095547
440	0.08457608169
441	0.08446452859
442	0.08446242836
443	0.08430784204
444	0.08404205087
445	0.08400229122
446	0.08399458682
447	0.08380049802
448	0.08372229137
449	0.08361776759
450	0.08356542802
451	0.08336951759
452	0.08304388068
453	0.08303826579
454	0.08280090804
455	0.08249464464
456	0.08249463928
457	0.08240389556
458	0.08218369859
459	0.08199165108
460	0.0818508984
461	0.08181813594
462	0.08161094751
463	0.08150608084
464	0.08147747597
465	0.08139525639
466	0.08104564367
467	0.08091683334
468	0.08072250881
469	0.08057434103
470	0.08039596643
471	0.08038932286
472	0.08033697793
473	0.08033431514
474	0.08017639632
475	0.08012634449
476	0.0801243782
477	0.08006819179
478	0.08005688699
479	0.07972217946
480	0.07946984152
481	0.07938777195
482	0.07937207383
483	0.07924675674
484	0.07897240928
485	0.0789472655
486	0.07875046034
487	0.07860641801
488	0.07858512107
489	0.0784373337
490	0.07822203904
491	0.07810940367
492	0.07803960329
493	0.07798828168
494	0.07790199023
495	0.07789058364
496	0.07787618208
497	0.07759544287
498	0.07741494125
499	0.07707657439
